"filename", "language", "Markdown", "YAML", "Dart", "Groovy", "XML", "C++", "Swift", "JSON", "Properties", "Kotlin", "comment", "blank", "total"
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/.github/workflows/main.yml", "YAML", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 38
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/build.gradle", "Groovy", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 3, 19, 105
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/debug/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/debug/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/debug/res/values/ic_launcher_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 11, 4, 39
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/kotlin/com/simplytranslate/MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 1, 9, 62
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/res/drawable/ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 77
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/res/values/ic_launcher_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/profile/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/profile/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/app/src/profile/res/values/ic_launcher_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/build.gradle", "Groovy", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/android/settings.gradle", "Groovy", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/assets/designs/dark-theme.1.svg", "XML", 0, 0, 0, 0, 579, 0, 0, 0, 0, 0, 1, 2, 582
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/assets/designs/light-theme.1.svg", "XML", 0, 0, 0, 0, 565, 0, 0, 0, 0, 0, 1, 2, 568
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/assets/designs/main.svg", "XML", 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 1, 2, 375
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/assets/favicon/simplytranslate.svg", "XML", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 1, 2, 157
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/assets/favicon/simplytranslate_transparent.svg", "XML", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 1, 1, 146
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/l10n.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/data.dart", "Dart", 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 26, 26, 234
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/google_translate_widget.dart", "Dart", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 4, 124
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/screens/maximized/maximized.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 4, 71
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/lang_selector/from_lang.dart", "Dart", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 1, 6, 191
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/lang_selector/switch_lang.dart", "Dart", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 14, 123
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/lang_selector/to_lang.dart", "Dart", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 2, 6, 191
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/translate_button/cancel_translation_button.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 5, 45
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/translate_button/translate_button.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 2, 5, 62
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/translate_button/translate_button_float.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/translation_input/translation_input.dart", "Dart", 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 3, 24, 345
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/translation_input/widgets/character_limit.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 3, 56
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/translation_input/widgets/copy_button.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 3, 39
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/translation_input/widgets/delete_button.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/translation_input/widgets/paste_button.dart", "Dart", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 1, 8, 133
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/google/widgets/translation_output/translation_output.dart", "Dart", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 3, 7, 118
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/main.dart", "Dart", 0, 0, 593, 0, 0, 0, 0, 0, 0, 0, 4, 39, 636
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/screens/about_screen.dart", "Dart", 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 109, 3, 348
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/screens/settings/settings_screen.dart", "Dart", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 4, 4, 85
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/screens/settings/widgets/select_default_lang.dart", "Dart", 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 2, 10, 251
"/mnt/Main_Storage/Git/improve light theme/simplytranslate-flutter-client/lib/screens/settings/widgets/select_instance.dart", "Dart", 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 4, 10, 315
